id,wavelandCount,inputsPerMinuteTotal,inputCount,openingsPerKillCount,wavedashCount,airDodgeCount,inputsPerMinuteCount,neutralWinRatioCount,dashDanceCount,openingsPerKillRatio,rollCount,counterHitRatio,spotDodgeCount,damagePerOpeningRatio,killCount,conversionCount,beneficialTradeRatioCount,opponentId,stageId,totalDamage,characterId,inputsPerMinuteRatio
135,8,2.638333333,1219,19,26,3,1219,6,14,6.333333333,3,0.647058824,3,12.45954293,3,19,0,19,31,236.7313156,9,462.0341124
136,8,5.736666667,2937,33,50,7,2937,18,31,11,9,0.619047619,13,16.37030353,3,33,1,19,3,540.2200165,0,511.969785
137,6,2.913055556,1502,23,20,8,1502,16,3,7.666666667,9,0.4375,6,15.98652118,3,23,0,20,8,367.6899872,0,515.6098026
138,9,4.153611111,1275,28,28,2,1275,15,32,9.333333333,2,0.461538462,3,20.15014103,3,28,1,7,31,564.203949,9,306.9618137
139,3,2.5575,814,16,4,3,814,8,26,4,3,0.571428571,0,14.34062457,4,16,0,9,2,229.4499931,15,318.2795699
140,3,2.386666667,883,20,10,1,883,12,20,5,2,0.5,1,20.17299919,4,20,0,9,28,403.4599838,15,369.972067
141,1,3.313333333,1556,20,35,3,1556,9,21,10,11,0.523809524,4,15.22149963,2,20,0,20,32,304.4299927,0,469.6177062
142,0,1.569722222,620,15,5,0,620,8,7,3.75,1,0.777777778,0,20.03799998,4,15,0,9,8,300.5699997,15,394.9743408
143,4,1.708055556,599,16,4,1,599,9,10,4,5,0.714285714,1,20.08062553,4,16,2,9,31,321.2900085,15,350.6911693
144,2,1.788611111,606,12,2,1,606,7,3,3,5,0.363636364,0,29.77499962,4,12,1,9,2,357.2999954,15,338.8103743
145,1,1.907777778,668,14,7,3,668,8,8,3.5,1,0.5,1,23.26142829,4,14,0,9,31,325.659996,15,350.1456028
146,2,1.890555556,736,16,14,1,736,7,49,4,1,0.571428571,1,17.4381249,4,16,1,9,3,279.0099983,15,389.3035557
147,3,2.105833333,695,14,9,0,695,5,14,3.5,1,0.5625,0,26.10142844,4,14,0,9,8,365.4199982,15,330.0356154
